"UNITID","ADM_RATE","HIGHDEG","PREDDEG","WOMENONLY","UGDS","UGDS_WOMEN","SATMT25","SATMT75","SATMTMID","PCIP42","PCIP45","PCIP26","PCIP11","PCIP29","PCIP41","PCIP40","PCIP27","PCIP14","PCIP15","WOMEN_TOTAL","ENG_DEG_PCNT","MATH_DEG_PCNT","SCIENCE_DEG_PCNT","TECH_DEG_PCNT","STEM_DEG_PCNT","STEM_DEG_TOTAL","STEM_DEG_WOMEN","MN_EARN_WNE_MALE0_P6","COUNT_WNE_MALE0_P6"
"106342",0.6142,"3",3,0,690,0.471,593,580,528,0.1402,0.0654,0.215,0.028,0,0,0.028,0.0374,0,0,325,0,0.0374,0.4486,0.028,0.514,355,178,25600,88
"106397",0.6204,"4",3,0,21405,0.5171,620,620,565,0.0343,0.0735,0.0525,0.0113,0,0,0.0333,0.0067,0.096,0,11069,0.096,0.0067,0.1936,0.0113,0.3076,6584,3292,33600,1435
"106412",0.3868,"4",3,0,2391,0.5441,507,460,427,0.0396,0.0233,0.1049,0.0233,0,0,0.0117,0.0023,0,0.0909,1301,0.0909,0.0023,0.1795,0.0233,0.296,708,354,22400,457
"106458",0.7239,"4",3,0,9139,0.5724,595,560,520,0.0347,0.0569,0.0217,0.0108,0,0,0.0153,0.0059,0.0135,0.0099,5231,0.0234,0.0059,0.1286,0.0108,0.1687,1542,771,27000,2032
"106467",0.8626,"4",3,0,8845,0.556,559,630,535,0.0317,0.0173,0.0188,0.0173,0,0,0.0109,0.0064,0.0282,0.0183,4918,0.0465,0.0064,0.0787,0.0173,0.1489,1317,658,26800,1032
"106704",0.9426,"4",3,0,9232,0.5869,567,580,515,0.0641,0.0447,0.0466,0.0155,0,0,0.0201,0.0162,0,0,5418,0,0.0162,0.1755,0.0155,0.2072,1913,956,29900,1496
"106713",0.5697,"3",3,0,788,0.4594,573,540,500,0.1846,0,0.0231,0,0.0077,0,0,0,0,0,362,0,0,0.2077,0.0077,0.2154,170,85,29300,88
"107044",0.9912,"4",3,0,4485,0.5512,585,610,540,0.0499,0.0104,0.036,0.0441,0,0,0.007,0.0081,0.0325,0,2472,0.0325,0.0081,0.1033,0.0441,0.188,843,422,30900,568
"107071",0.6278,"4",3,0,3226,0.5524,573,530,495,0.0772,0.0376,0.0495,0.0099,0,0,0.0238,0.0079,0.0059,0,1782,0.0059,0.0079,0.1881,0.0099,0.2118,683,342,25800,517
"107080",0.8282,"4",3,0,1322,0.5492,650,660,600,0.1176,0.1827,0.2043,0.0248,0,0,0.0681,0.0124,0,0,726,0,0.0124,0.5727,0.0248,0.6099,806,403,26300,148
"107512",0.7061,"3",3,0,1455,0.5203,605,590,540,0.0507,0.0338,0.1324,0.0085,0,0,0.0113,0.0169,0,0,757,0,0.0169,0.2282,0.0085,0.2536,369,184,27100,180
"107558",0.8892,"3",3,0,578,0.5277,595,560,520,0.0484,0.0887,0.0806,0,0,0,0.0161,0.0242,0,0,305,0,0.0242,0.2338,0,0.258,149,74,25900,79
"107877",0.7049,"3",3,0,508,0.5374,567,540,495,0.1982,0,0.0811,0,0,0,0,0,0,0,273,0,0,0.2793,0,0.2793,142,71,22200,140
"107983",0.7142,"4",3,0,2784,0.565,559,540,490,0.0508,0.0085,0.0355,0.0068,0,0,0.0541,0.0068,0,0,1573,0,0.0068,0.1489,0.0068,0.1625,452,226,28500,440
"109785",0.8183,"4",3,0,5918,0.6465,605,540,515,0.0813,0.0389,0.0177,0.0114,0,0,0.0069,0.0114,0,0,3826,0,0.0114,0.1448,0.0114,0.1676,992,496,42300,1025
"110097",0.754,"4",3,0,4364,0.6272,605,620,555,0.088,0.074,0.0579,0.0064,0,0,0.0021,0.0075,0.0021,0,2737,0.0021,0.0075,0.222,0.0064,0.238,1039,520,32500,703
"110361",0.7967,"4",3,0,6435,0.6328,528,550,485,0.102,0.0486,0.036,0,0,0,0.0029,0.0078,0.0515,0.001,4072,0.0525,0.0078,0.1895,0,0.2498,1607,804,34700,733
"110413",0.6097,"4",3,0,2799,0.5563,610,600,550,0.1149,0.0595,0.0838,0.0392,0,0,0.0176,0.0108,0.0108,0,1557,0.0108,0.0108,0.2758,0.0392,0.3366,942,471,37300,324
"110422",0.3089,"4",3,0,19177,0.4591,673,680,630,0.0141,0.0577,0.0527,0.0193,0,0,0.0201,0.0149,0.248,0.0128,8804,0.2608,0.0149,0.1446,0.0193,0.4396,8430,4215,40900,1332
"110510",0.8445,"4",3,0,16439,0.6124,510,500,450,0.1322,0.1017,0.0248,0.0132,0,0,0.02,0.0212,0.0069,0,10067,0.0069,0.0212,0.2787,0.0132,0.32,5260,2630,33200,2641
"110529",0.5187,"4",3,0,22269,0.437,595,630,555,0.0404,0.0582,0.0536,0.0239,0,0,0.0171,0.0141,0.1806,0.0263,9732,0.2069,0.0141,0.1693,0.0239,0.4142,9224,4612,33800,1920
"110538",0.7096,"4",3,0,15844,0.5215,559,550,495,0.0703,0.0855,0.0211,0.0378,0,0,0.0067,0.007,0.0445,0.0281,8263,0.0726,0.007,0.1836,0.0378,0.301,4769,2384,34000,1894
"110556",0.594,"4",3,0,20128,0.5724,510,520,460,0.0705,0.1277,0.0209,0.0073,0,0,0.0176,0.0094,0.0394,0.0197,11521,0.0591,0.0094,0.2367,0.0073,0.3125,6290,3145,31000,2826
"110565",0.4447,"4",3,0,32610,0.5528,585,580,525,0.0659,0.0674,0.026,0.0079,0,0,0.0076,0.0062,0.0205,0,18027,0.0205,0.0062,0.1669,0.0079,0.2015,6571,3286,34000,4083
"110583",0.3546,"4",3,0,31494,0.5639,595,600,540,0.0567,0.1056,0.0349,0.0099,0,0,0.0083,0.0085,0.063,0.009,17759,0.072,0.0085,0.2055,0.0099,0.2959,9319,4660,35400,3911
"110592",0.6107,"4",3,0,20643,0.5847,505,500,445,0.0643,0.1031,0.0359,0.0292,0,0,0.0067,0.0073,0.0418,0.0079,12070,0.0497,0.0073,0.21,0.0292,0.2962,6114,3057,34100,3089
"110608",0.5286,"4",3,0,35409,0.5413,510,520,460,0.103,0.124,0.0385,0.0192,0,0,0.004,0.0048,0.0342,0.0027,19167,0.0369,0.0048,0.2695,0.0192,0.3304,11699,5850,32500,4310
